Time (ms),Value,AccX,AccY,AccZ,gX,gY,gZ,Pitch,Roll
728,40,-0.11,-0.98,-0.15,-1.09,-9.65,-1.49,-84.07,-6.96
746,3,0.02,-1.07,-0.11,0.15,-10.49,-1.12,-84.43,-7.86
764,42,0.11,-0.98,-0.27,1.10,-9.61,-2.61,-84.26,-8.49
782,56,0.06,-0.70,-0.13,0.61,-6.89,-1.27,-84.44,-9.32
800,65,-0.05,-0.85,-0.14,-0.50,-8.35,-1.37,-85.50,-10.38
819,63,-0.07,-0.97,-0.05,-0.69,-9.48,-0.54,-86.85,-11.39
837,45,0.17,-1.20,-0.29,1.62,-11.77,-2.89,-87.97,-12.74
856,16,0.22,-1.29,-0.29,2.12,-12.62,-2.86,-88.48,-13.76
874,8,0.13,-1.12,-0.22,1.27,-10.94,-2.19,-88.53,-14.32
891,-16,0.06,-0.77,-0.38,0.57,-7.50,-3.69,-88.14,-14.24
910,-80,-0.04,-1.07,-0.35,-0.44,-10.51,-3.42,-87.92,-13.74
929,-60,-0.03,-1.20,-0.35,-0.26,-11.72,-3.44,-87.43,-13.17
948,8,0.12,-0.99,-0.29,1.14,-9.66,-2.81,-86.87,-12.51
965,11,0.21,-0.93,-0.27,2.06,-9.16,-2.68,-86.21,-11.97
984,26,0.22,-0.93,-0.29,2.15,-9.09,-2.85,-85.45,-11.39
1002,60,0.13,-1.01,-0.21,1.25,-9.94,-2.06,-84.80,-10.94
1020,59,0.05,-0.91,-0.14,0.48,-8.95,-1.36,-84.25,-10.72
1039,36,-0.03,-0.91,-0.11,-0.28,-8.95,-1.12,-83.86,-10.55
1057,11,0.05,-0.86,-0.20,0.47,-8.43,-1.97,-83.61,-10.81
1076,-13,-0.03,-0.98,-0.19,-0.31,-9.60,-1.87,-83.48,-11.37
1094,-20,-0.14,-0.88,-0.12,-1.34,-8.61,-1.18,-83.49,-11.99
1113,-19,0.06,-0.84,-0.23,0.55,-8.27,-2.22,-83.46,-13.18
1131,-40,0.16,-0.95,-0.27,1.55,-9.33,-2.62,-83.20,-14.18
1149,-105,0.04,-1.01,-0.27,0.44,-9.91,-2.63,-82.74,-14.36
1168,-112,-0.05,-0.89,-0.27,-0.49,-8.71,-2.64,-82.22,-14.36
1186,56,0.05,-1.05,-0.16,0.53,-10.30,-1.55,-81.89,-14.29
1205,142,0.04,-0.81,-0.08,0.36,-7.90,-0.75,-81.75,-14.05
1223,19,0.08,-0.98,-0.30,0.74,-9.62,-2.89,-81.32,-13.68
1242,-38,0.07,-1.55,-0.27,0.70,-15.19,-2.61,-81.04,-13.32
1260,-3,-0.14,-0.79,-0.26,-1.32,-7.76,-2.53,-80.31,-12.48
1278,10,-0.14,-0.67,-0.23,-1.34,-6.61,-2.26,-79.80,-12.30
1297,40,-0.05,-1.03,-0.11,-0.47,-10.13,-1.04,-79.79,-12.20
1316,38,-0.01,-0.96,-0.16,-0.10,-9.45,-1.54,-79.64,-12.08
1335,-9,0.07,-0.99,-0.22,0.65,-9.71,-2.18,-79.43,-12.03
1353,-39,0.08,-1.02,-0.20,0.77,-9.96,-1.94,-79.21,-11.91
1372,-50,0.02,-1.05,-0.15,0.22,-10.33,-1.50,-79.06,-10.79
1390,-34,-0.05,-1.19,0.01,-0.50,-11.64,0.09,-79.12,-9.29
1409,-52,-0.05,-1.18,-0.05,-0.50,-11.58,-0.47,-79.35,-7.60
1427,-96,-0.05,-0.79,-0.15,-0.45,-7.72,-1.48,-79.41,-6.20
1445,-111,0.29,-1.13,-0.03,2.86,-11.12,-0.31,-79.61,-5.45
1464,-64,0.41,-1.15,-0.21,4.01,-11.30,-2.01,-80.05,-5.57
1482,0,0.36,-0.91,-0.27,3.54,-8.87,-2.66,-80.32,-6.32
1501,8,0.19,-0.89,-0.19,1.82,-8.74,-1.85,-80.85,-6.86
1518,52,0.27,-0.78,-0.23,2.69,-7.63,-2.23,-81.15,-7.36
1537,85,0.20,-0.81,-0.18,1.96,-7.90,-1.78,-81.45,-7.36
1555,58,0.09,-0.88,-0.18,0.86,-8.64,-1.76,-81.71,-7.28
1573,35,0.08,-0.89,-0.27,0.75,-8.69,-2.64,-81.61,-7.16
1592,28,0.20,-0.85,-0.27,1.95,-8.33,-2.64,-81.30,-7.39
1609,29,0.15,-0.89,-0.37,1.51,-8.71,-3.64,-81.30,-8.34
1628,30,0.15,-0.82,-0.33,1.45,-8.05,-3.26,-81.09,-8.40
1646,27,0.22,-0.83,-0.33,2.17,-8.13,-3.21,-80.64,-8.45
1665,16,0.30,-0.88,-0.37,2.98,-8.60,-3.63,-80.23,-8.33
1683,6,0.29,-0.99,-0.35,2.84,-9.70,-3.45,-79.76,-8.25
1700,-2,0.28,-0.92,-0.34,2.75,-9.02,-3.30,-79.01,-8.11
1719,-8,0.25,-0.81,-0.28,2.48,-7.99,-2.79,-78.23,-8.10
1737,-5,0.16,-0.71,-0.19,1.55,-7.00,-1.85,-77.76,-8.10
1756,-7,0.04,-0.77,-0.14,0.37,-7.58,-1.37,-77.76,-8.02
1774,-14,0.09,-1.01,-0.18,0.87,-9.87,-1.77,-77.63,-7.96
1793,-9,0.23,-1.01,-0.30,2.28,-9.92,-2.90,-77.01,-7.82
1810,0,0.16,-0.94,-0.27,1.57,-9.18,-2.62,-76.31,-7.44
1828,7,-0.14,-0.94,-0.11,-1.36,-9.20,-1.04,-75.86,-6.64
1847,0,-0.17,-1.05,-0.13,-1.67,-10.25,-1.24,-75.47,-6.08
1865,-4,-0.24,-1.12,-0.06,-2.35,-10.97,-0.56,-75.12,-5.88
1884,-6,-0.08,-1.09,-0.16,-0.75,-10.69,-1.57,-74.78,-6.05
1902,-6,-0.03,-0.94,-0.18,-0.32,-9.19,-1.77,-74.40,-6.22
1921,15,-0.09,-0.91,-0.19,-0.87,-8.95,-1.88,-74.16,-6.23
1939,111,-0.12,-1.08,-0.07,-1.17,-10.54,-0.71,-74.03,-6.05
1957,59,0.02,-1.05,-0.21,0.16,-10.31,-2.06,-73.70,-6.35
1976,-169,0.09,-0.92,-0.21,0.91,-9.01,-2.09,-73.34,-6.88
1994,-142,0.11,-0.92,-0.19,1.09,-9.06,-1.86,-72.58,-6.63
2013,17,-0.10,-0.93,-0.07,-1.01,-9.13,-0.67,-71.96,-6.09
2031,48,-0.33,-0.83,0.15,-3.19,-8.13,1.50,-72.18,-6.06
2050,30,-0.21,-0.92,-0.02,-2.06,-9.01,-0.18,-73.30,-7.16
2068,-2,0.67,-0.89,-0.31,6.60,-8.70,-3.01,-73.14,-8.15
2086,-17,0.20,-0.83,0.04,1.95,-8.12,0.44,-74.24,-8.93
2104,-10,-0.01,-1.03,-0.37,-0.09,-10.08,-3.60,-75.23,-9.74
2123,31,-0.21,-1.10,-0.47,-2.02,-10.81,-4.56,-74.56,-9.74
2142,36,-0.18,-1.20,-0.27,-1.78,-11.71,-2.69,-73.08,-9.31
2160,24,0.11,-0.77,-0.13,1.03,-7.56,-1.29,-71.79,-8.96
2179,112,-0.03,-0.87,-0.04,-0.33,-8.51,-0.39,-71.31,-8.03
2197,7,-0.44,-1.05,0.11,-4.34,-10.25,1.03,-70.86,-7.15
2214,-108,-0.69,-0.76,0.22,-6.79,-7.46,2.20,-70.34,-6.55
2233,0,0.05,-0.83,0.02,0.45,-8.11,0.17,-70.78,-6.89
2251,-25,0.08,-1.20,-0.16,0.78,-11.72,-1.59,-70.59,-7.19
2270,-37,-0.29,-0.99,-0.09,-2.86,-9.65,-0.87,-69.89,-7.12
2288,-5,-0.24,-1.01,-0.32,-2.34,-9.93,-3.13,-68.76,-6.32
2307,4,-0.22,-1.11,-0.11,-2.13,-10.83,-1.04,-67.23,-5.99
2325,11,-0.12,-1.05,-0.11,-1.15,-10.25,-1.04,-67.23,-6.72
2343,-73,0.08,-1.15,-0.19,0.82,-11.22,-1.88,-67.69,-5.91
2362,-50,-0.02,-0.91,-0.24,-0.22,-8.90,-2.33,-69.55,-3.82
2380,46,-0.36,-0.18,0.38,-3.53,-1.73,3.76,-71.41,-3.82
2399,23,-0.18,-0.86,0.18,-1.79,-8.39,1.81,-72.73,-4.33
2417,3,0.03,-0.94,-0.18,0.33,-9.21,-1.79,-73.17,-4.79
2436,31,-0.21,-1.12,-0.34,-2.09,-11.01,-3.30,-73.71,-5.50
2454,23,-0.15,-0.92,-0.16,-1.45,-8.98,-1.55,-73.91,-5.73
2472,2,-0.04,-0.88,-0.07,-0.39,-8.63,-0.72,-74.44,-5.95
2490,-10,-0.01,-1.00,-0.10,-0.06,-9.76,-0.95,-75.07,-6.39
2509,-3,0.00,-1.15,-0.19,0.03,-11.29,-1.89,-75.61,-6.64
2527,8,-0.22,-0.99,-0.28,-2.16,-9.69,-2.76,-75.74,-5.98
2545,6,-0.22,-0.94,-0.20,-2.11,-9.22,-1.99,-75.78,-5.47
2564,9,-0.11,-0.96,-0.23,-1.07,-9.41,-2.23,-75.76,-5.30
2582,7,-0.03,-0.88,-0.22,-0.30,-8.61,-2.13,-75.77,-5.21
2600,-6,-0.07,-0.90,-0.30,-0.72,-8.84,-2.98,-75.63,-5.07
2619,-13,-0.12,-0.76,-0.25,-1.18,-7.40,-2.42,-75.33,-4.55
2637,-11,-0.22,-0.75,-0.24,-2.19,-7.30,-2.32,-74.86,-3.76
2656,-9,-0.18,-0.88,-0.21,-1.81,-8.62,-2.07,-74.40,-3.03
2674,-11,-0.15,-1.01,-0.20,-1.46,-9.87,-1.98,-74.16,-2.55
2693,-3,-0.16,-1.10,-0.19,-1.54,-10.74,-1.86,-73.81,-1.99
2711,7,-0.16,-1.07,-0.12,-1.58,-10.46,-1.21,-73.44,-1.85
2729,7,-0.01,-1.05,-0.01,-0.10,-10.30,-0.13,-73.41,-1.97
2748,15,-0.01,-1.05,-0.06,-0.12,-10.29,-0.58,-73.48,-2.08
2766,17,-0.02,-1.04,-0.10,-0.15,-10.22,-0.94,-73.63,-2.08
2785,6,-0.03,-1.00,-0.12,-0.32,-9.77,-1.17,-73.76,-2.05
2803,0,-0.05,-0.95,-0.12,-0.47,-9.28,-1.18,-73.89,-1.87
2822,-3,-0.10,-0.90,-0.16,-1.03,-8.83,-1.56,-74.00,-1.64
2840,-6,-0.13,-0.87,-0.17,-1.31,-8.57,-1.64,-74.04,-1.42
2859,-8,-0.12,-0.92,-0.18,-1.13,-9.06,-1.78,-74.05,-1.25
2877,-16,-0.09,-0.93,-0.17,-0.92,-9.11,-1.67,-74.06,-1.04
2895,-13,-0.08,-0.89,-0.15,-0.76,-8.76,-1.47,-74.11,-0.93
2914,7,-0.08,-0.88,-0.14,-0.78,-8.64,-1.33,-74.23,-0.85
2932,17,-0.11,-0.90,-0.18,-1.09,-8.80,-1.75,-74.33,-0.77
2951,8,-0.10,-0.93,-0.16,-0.93,-9.11,-1.53,-74.43,-0.73
2969,1,-0.08,-1.02,-0.18,-0.81,-9.99,-1.76,-74.52,-0.67
2988,-2,-0.09,-1.04,-0.19,-0.89,-10.23,-1.83,-74.49,-0.58
3006,-5,-0.12,-0.97,-0.16,-1.18,-9.48,-1.56,-74.42,-0.47
3024,-4,-0.10,-0.96,-0.14,-1.01,-9.41,-1.36,-74.36,-0.33
3043,0,-0.09,-0.95,-0.15,-0.84,-9.34,-1.47,-74.33,-0.17
3061,0,-0.09,-0.94,-0.14,-0.84,-9.25,-1.39,-74.31,-0.04
3080,-1,-0.10,-0.94,-0.14,-0.94,-9.22,-1.37,-74.27,0.10
3098,1,-0.07,-0.98,-0.13,-0.69,-9.59,-1.31,-74.29,0.14
3117,4,-0.08,-0.99,-0.15,-0.75,-9.67,-1.50,-74.28,0.18
3134,5,-0.07,-0.95,-0.10,-0.66,-9.35,-1.02,-74.35,0.16
3152,1,-0.09,-0.95,-0.14,-0.85,-9.27,-1.37,-74.42,0.16
3171,-2,-0.11,-0.96,-0.15,-1.03,-9.40,-1.46,-74.46,0.25
3189,-4,-0.09,-0.98,-0.15,-0.90,-9.58,-1.47,-74.48,0.34
3208,-2,-0.09,-1.00,-0.16,-0.91,-9.76,-1.54,-74.43,0.43
3226,0,-0.13,-0.97,-0.15,-1.25,-9.54,-1.47,-74.31,0.56
3244,2,-0.08,-0.95,-0.11,-0.82,-9.32,-1.04,-74.33,0.45
3262,0,-0.08,-0.96,-0.12,-0.77,-9.37,-1.14,-74.38,0.45
3280,-1,-0.08,-0.93,-0.13,-0.80,-9.14,-1.29,-74.42,0.54
3299,0,-0.11,-0.94,-0.14,-1.09,-9.24,-1.33,-74.43,0.67
3317,1,-0.09,-0.94,-0.11,-0.91,-9.24,-1.05,-74.51,0.72
3336,2,-0.07,-0.97,-0.10,-0.72,-9.52,-0.97,-74.67,0.72
3353,0,-0.09,-0.95,-0.11,-0.90,-9.27,-1.08,-74.83,0.73
3372,-3,-0.08,-0.95,-0.12,-0.80,-9.28,-1.13,-75.04,0.66
3390,-2,-0.08,-0.94,-0.14,-0.77,-9.25,-1.39,-75.24,0.61
3408,0,-0.09,-0.97,-0.17,-0.85,-9.48,-1.65,-75.37,0.66
3427,0,-0.12,-0.98,-0.19,-1.18,-9.56,-1.89,-75.36,0.76
3445,0,-0.09,-0.96,-0.16,-0.84,-9.46,-1.56,-75.31,0.82
3463,1,-0.07,-0.96,-0.15,-0.69,-9.42,-1.43,-75.26,0.85
3481,0,-0.04,-0.96,-0.10,-0.43,-9.38,-1.02,-75.28,0.90
3500,0,-0.06,-0.94,-0.14,-0.63,-9.23,-1.35,-75.28,0.94
3518,3,-0.08,-0.93,-0.15,-0.75,-9.12,-1.44,-75.24,1.02
3536,0,-0.10,-0.94,-0.16,-1.01,-9.21,-1.56,-75.16,1.19
3554,-3,-0.10,-0.95,-0.14,-0.97,-9.35,-1.35,-75.06,1.34
3572,0,-0.07,-0.98,-0.11,-0.72,-9.59,-1.11,-75.01,1.37
3591,2,-0.08,-0.96,-0.10,-0.76,-9.41,-0.96,-75.00,1.43
3609,1,-0.08,-0.95,-0.10,-0.76,-9.27,-0.94,-75.03,1.52
3628,0,-0.09,-0.95,-0.11,-0.91,-9.28,-1.07,-75.08,1.58
3646,0,-0.13,-0.94,-0.13,-1.23,-9.17,-1.29,-75.09,1.65
3663,0,-0.14,-0.91,-0.15,-1.34,-8.94,-1.44,-75.05,1.64
3682,-1,-0.14,-0.93,-0.15,-1.34,-9.13,-1.45,-74.97,1.39
3700,-3,-0.10,-0.96,-0.13,-0.97,-9.38,-1.32,-74.96,0.86
3719,0,-0.02,-1.00,-0.05,-0.15,-9.81,-0.48,-75.08,0.93
3737,0,-0.07,-0.98,-0.13,-0.71,-9.57,-1.25,-75.11,1.06
3756,0,-0.08,-0.99,-0.08,-0.80,-9.72,-0.82,-75.14,1.25
3774,1,-0.06,-0.98,-0.08,-0.63,-9.56,-0.81,-75.21,1.30
3791,5,-0.07,-0.98,-0.10,-0.64,-9.61,-0.96,-75.30,1.26
3810,2,-0.04,-0.98,-0.10,-0.35,-9.56,-0.97,-75.43,1.26
3828,-1,-0.06,-0.98,-0.12,-0.58,-9.62,-1.15,-75.53,1.36
3847,-1,-0.08,-0.97,-0.11,-0.80,-9.53,-1.07,-75.59,1.58
3865,-1,-0.09,-0.96,-0.11,-0.87,-9.41,-1.05,-75.64,1.74
3884,-1,-0.09,-0.95,-0.12,-0.88,-9.28,-1.21,-75.64,1.82
3902,0,-0.08,-0.95,-0.10,-0.76,-9.29,-0.96,-75.70,1.89
3919,0,-0.08,-0.94,-0.11,-0.78,-9.23,-1.08,-75.74,1.96
3938,0,-0.08,-0.96,-0.11,-0.80,-9.38,-1.11,-75.76,2.06
3956,1,-0.05,-0.97,-0.08,-0.47,-9.51,-0.79,-75.85,2.11
3975,3,-0.07,-0.98,-0.10,-0.67,-9.61,-0.94,-75.92,2.16
3993,3,-0.07,-0.98,-0.09,-0.68,-9.56,-0.87,-76.03,2.20
4012,1,-0.06,-0.98,-0.09,-0.63,-9.60,-0.90,-76.14,2.20
4029,0,-0.05,-0.98,-0.08,-0.52,-9.60,-0.78,-76.30,2.15
4047,-1,-0.09,-0.94,-0.10,-0.91,-9.19,-1.00,-76.42,2.12
4066,-2,-0.08,-0.94,-0.12,-0.82,-9.22,-1.21,-76.50,2.12
4084,-3,-0.08,-0.95,-0.11,-0.75,-9.34,-1.06,-76.58,2.16
4103,-2,-0.08,-0.95,-0.11,-0.76,-9.36,-1.03,-76.65,2.20
4121,0,-0.06,-0.96,-0.10,-0.60,-9.36,-0.94,-76.75,2.19
4140,0,-0.06,-0.96,-0.10,-0.62,-9.45,-0.95,-76.86,2.24
4157,2,-0.08,-0.95,-0.11,-0.76,-9.35,-1.08,-76.94,2.32
4175,2,-0.07,-0.93,-0.10,-0.67,-9.15,-0.98,-77.04,2.36
4194,2,-0.06,-0.93,-0.10,-0.63,-9.15,-1.03,-77.16,2.36
4212,0,-0.07,-0.92,-0.11,-0.72,-9.02,-1.09,-77.26,2.37
4231,0,-0.06,-0.96,-0.11,-0.63,-9.40,-1.08,-77.39,2.37
4249,0,-0.06,-0.97,-0.12,-0.57,-9.53,-1.13,-77.52,2.29
4267,-2,-0.08,-0.96,-0.13,-0.76,-9.44,-1.28,-77.61,2.26
4285,-1,-0.09,-0.96,-0.12,-0.89,-9.38,-1.18,-77.65,2.26
4303,-1,-0.07,-0.96,-0.11,-0.71,-9.40,-1.04,-77.69,2.27
4322,0,-0.07,-0.97,-0.11,-0.69,-9.51,-1.12,-77.73,2.31
4340,2,-0.08,-0.98,-0.12,-0.74,-9.57,-1.18,-77.73,2.37
4359,1,-0.10,-0.98,-0.12,-0.94,-9.59,-1.13,-77.69,2.45
4377,1,-0.08,-0.99,-0.10,-0.78,-9.65,-1.02,-77.66,2.52
4395,1,-0.08,-0.97,-0.10,-0.80,-9.54,-1.01,-77.63,2.57
4413,0,-0.09,-0.95,-0.10,-0.86,-9.26,-0.96,-77.59,2.62
4431,-1,-0.09,-0.96,-0.11,-0.84,-9.39,-1.06,-77.56,2.65
4450,-2,-0.07,-0.98,-0.10,-0.66,-9.60,-0.96,-77.56,2.62
4468,-2,-0.07,-0.98,-0.09,-0.67,-9.59,-0.89,-77.63,2.64
4487,-1,-0.06,-0.95,-0.09,-0.60,-9.34,-0.86,-77.71,2.61
4505,0,-0.06,-0.95,-0.09,-0.61,-9.31,-0.86,-77.80,2.61
4523,3,-0.08,-0.94,-0.11,-0.80,-9.19,-1.04,-77.84,2.66
4541,1,-0.06,-0.96,-0.09,-0.61,-9.40,-0.93,-77.91,2.70
4559,0,-0.07,-0.97,-0.11,-0.70,-9.47,-1.03,-78.00,2.68
4578,2,-0.08,-0.95,-0.11,-0.74,-9.33,-1.09,-78.08,2.64
4596,2,-0.07,-0.96,-0.11,-0.68,-9.45,-1.06,-78.16,2.61
4615,0,-0.08,-0.96,-0.13,-0.83,-9.46,-1.26,-78.17,2.58
4632,-2,-0.08,-0.95,-0.11,-0.76,-9.30,-1.03,-78.20,2.59
4651,-2,-0.06,-0.96,-0.10,-0.63,-9.38,-0.97,-78.27,2.65
4962,0,-0.05,-0.98,-0.13,-0.46,-9.57,-1.27,-79.05,1.89
4980,2,-0.06,-0.97,-0.11,-0.59,-9.55,-1.04,-79.00,1.88
4998,0,-0.08,-0.96,-0.10,-0.81,-9.46,-0.99,-78.93,1.86
5016,-2,-0.07,-0.97,-0.06,-0.65,-9.46,-0.61,-78.98,1.80
5035,-2,-0.03,-0.97,-0.05,-0.31,-9.47,-0.51,-79.11,1.71
5053,-1,-0.03,-0.97,-0.08,-0.33,-9.51,-0.77,-79.25,1.63
5071,-1,-0.02,-0.96,-0.07,-0.20,-9.36,-0.67,-79.46,1.53
5090,1,-0.04,-0.98,-0.06,-0.43,-9.57,-0.62,-79.64,1.20
5108,4,-0.02,-0.98,-0.11,-0.15,-9.63,-1.04,-79.79,0.70
5126,4,-0.02,-0.95,-0.11,-0.18,-9.34,-1.07,-79.92,0.24
5144,0,0.03,-0.95,-0.06,0.28,-9.32,-0.63,-80.13,0.01
5163,-1,-0.01,-0.99,-0.12,-0.12,-9.70,-1.15,-80.24,0.05
5181,-2,-0.03,-1.03,-0.13,-0.33,-10.14,-1.25,-80.32,0.09
5199,-2,-0.05,-0.98,-0.12,-0.54,-9.59,-1.17,-80.39,0.13
5218,-2,-0.06,-0.93,-0.10,-0.62,-9.14,-0.97,-80.51,0.03
5236,-2,-0.06,-0.95,-0.10,-0.56,-9.30,-1.03,-80.70,-0.18
5255,0,-0.06,-0.95,-0.16,-0.62,-9.32,-1.52,-80.82,-0.36
5273,0,-0.07,-0.95,-0.15,-0.73,-9.29,-1.48,-80.89,-0.50
5291,0,-0.01,-0.93,-0.12,-0.11,-9.09,-1.15,-81.09,-0.74
5309,0,0.03,-0.92,-0.11,0.26,-9.04,-1.12,-81.40,-1.09
5327,0,0.02,-0.99,-0.16,0.23,-9.69,-1.61,-81.61,-1.31
5346,1,0.05,-0.98,-0.16,0.45,-9.59,-1.59,-81.76,-1.21
5364,2,0.05,-0.97,-0.19,0.49,-9.51,-1.85,-81.83,-1.03
5382,2,0.02,-0.88,-0.14,0.22,-8.67,-1.41,-82.04,-0.94
5400,2,0.08,-0.91,-0.17,0.80,-8.89,-1.71,-82.23,-0.81
5419,0,0.07,-0.96,-0.23,0.65,-9.39,-2.22,-82.30,-0.85
5437,0,0.08,-0.96,-0.22,0.83,-9.45,-2.12,-82.31,-0.91
5454,2,0.07,-0.96,-0.19,0.67,-9.43,-1.89,-82.24,-1.09
5473,3,0.07,-0.99,-0.17,0.71,-9.66,-1.71,-82.12,-1.25
5491,5,0.02,-0.96,-0.17,0.24,-9.44,-1.69,-81.98,-1.14
5510,4,-0.04,-0.98,-0.26,-0.44,-9.64,-2.57,-81.59,-0.98
5527,0,-0.03,-0.99,-0.25,-0.33,-9.68,-2.43,-81.28,-0.87
5545,0,0.00,-0.95,-0.18,0.00,-9.28,-1.76,-81.20,-0.92
5564,-1,0.02,-0.92,-0.17,0.16,-9.00,-1.70,-81.15,-1.09
5582,-5,0.04,-0.88,-0.13,0.41,-8.60,-1.25,-81.04,-1.41
5601,-8,0.08,-0.87,-0.09,0.77,-8.55,-0.86,-80.84,-1.55
5619,-6,0.03,-0.90,-0.11,0.33,-8.80,-1.09,-80.51,-1.43
5637,-2,0.00,-0.94,-0.14,0.01,-9.20,-1.34,-80.21,-1.38
5655,0,0.00,-0.97,-0.12,0.01,-9.51,-1.21,-80.03,-1.45
5673,1,0.03,-1.00,-0.11,0.33,-9.82,-1.11,-79.98,-1.69
5692,3,0.03,-1.05,-0.16,0.25,-10.27,-1.56,-79.84,-1.92
5710,4,-0.21,-0.94,-0.17,-2.08,-9.22,-1.63,-79.40,-1.76
5729,0,-0.04,-0.89,-0.15,-0.44,-8.77,-1.42,-79.43,-2.60
5747,-6,-0.03,-0.92,-0.18,-0.29,-9.06,-1.74,-79.19,-2.89
5766,-9,-0.01,-0.90,-0.19,-0.07,-8.82,-1.88,-78.86,-3.49
5784,-7,0.01,-0.91,-0.13,0.14,-8.93,-1.29,-78.94,-3.83
5801,-4,0.02,-0.98,-0.15,0.22,-9.60,-1.50,-78.79,-3.22
5820,0,0.01,-1.03,-0.13,0.06,-10.08,-1.23,-79.07,-2.84
5838,2,-0.03,-1.06,-0.20,-0.33,-10.41,-1.97,-79.52,-2.14
5857,4,0.03,-1.04,-0.18,0.34,-10.18,-1.72,-79.66,-1.36
5875,3,-0.12,-0.91,-0.15,-1.21,-8.92,-1.50,-78.80,-0.83
5894,1,-0.06,-0.90,-0.12,-0.58,-8.83,-1.15,-78.06,-0.34
5912,4,0.01,-1.00,-0.07,0.10,-9.82,-0.64,-77.56,-0.10
5929,7,0.06,-0.96,-0.08,0.62,-9.42,-0.83,-77.20,-0.13
5948,7,0.03,-0.90,-0.02,0.27,-8.81,-0.20,-76.96,0.05
5966,7,-0.08,-0.99,-0.05,-0.83,-9.73,-0.49,-76.91,0.54
5985,5,-0.13,-1.03,-0.07,-1.23,-10.07,-0.67,-76.79,1.16
6003,-2,-0.13,-0.91,-0.03,-1.23,-8.91,-0.30,-76.73,1.66
6021,-3,-0.12,-0.89,-0.04,-1.13,-8.76,-0.35,-76.82,1.92
6039,0,-0.10,-0.93,-0.11,-1.02,-9.13,-1.08,-76.87,2.03
6057,1,-0.16,-1.03,-0.09,-1.59,-10.10,-0.85,-76.90,2.23
